FlowNo.,Answer RRs,BytesEx,Destination,Destination Port,Duration,FPL,IP_Flags,Length,Next sequence number,No.,NumPackets,Protocol,Protocols in frame,SameLenPktRatio,Sequence number,Source,Source Port,StdDevLen,IAT,isNull,NPEx,reconnects,APL,BitsPerSec,AvgPktPerSec,udp_Length,tcp_Flags,Time,TCP Segment Len,IOPR,NumForward
14,0,256,224.0.0.251,5353,0.003954,81,0x00,81,,3,2,MDNS,eth:ethertype:ip:udp:mdns,1,,10.130.145.203,5353,47,0,0,0,1,128,517956,505.817,47,0,0.019235,,-1,0
12,3,647,10.130.234.185,51504,0.00686,83,0x00,254,,47,4,DNS,eth:ethertype:ip:udp:dns,0.75,,222.30.45.41,53,79.3265,0.00299,0,0,3,161.75,754519,583.09,220,0,2.49535,,1,2
1,,114,10.130.234.185,62551,0.04926,60,0x00,60,61,83,2,TCP,eth:ethertype:ip:tcp,1,61,111.30.159.178,443,3,0,0,0,0,57,18514,40.6009,,16,5.54025,0,1,1
23,,5068,2600:1417:e800:18d::b,443,0.38411,266,,284,616,34,11,TLSv1.2,eth:ethertype:ipv6:tcp:tls,0.909091,406,2001:250:401:6561:3542:be32:86c:9999,63319,500.668,0.00047,0,0,1,460.727,105553,28.6376,,24,1.94467,210,0.833333,6
19,,132,10.130.234.185,63320,0.00481,66,0x40,66,215,57,2,TCP,eth:ethertype:ip:tcp,0.5,215,23.2.16.74,80,0,0,0,0,1,66,219543,415.8,,16,2.94505,0,0,2
5,,133,10.130.234.185,63130,0.02168,55,0x00,78,1,73,2,TCP,eth:ethertype:ip:tcp,1,1,120.253.253.105,443,11.5,0.02168,0,0,1,66.5,49077.5,92.2509,,16,4.50178,0,1,1
4,,273,120.232.130.110,8020,3.20918,69,0x00,69,,43,4,UDP,eth:ethertype:ip:udp:data,0.5,,10.130.234.185,1863,1.29904,0,0,0,3,68.25,680.548,1.24642,35,0,2.39065,,3,1
9,,148,220.194.106.77,14309,1.00706,74,0x40,74,1,66,2,TCP,eth:ethertype:ip:tcp,0.5,0,10.130.234.185,63321,0,0,0,0,1,74,1175.7,1.98598,,2,3.12272,0,-1,0
7,,54,20.198.162.78,443,0,54,0x40,54,102,11,1,TCP,eth:ethertype:ip:tcp,1,102,10.130.234.185,49426,0,0,0,0,0,54,0,0,,16,0.699803,0,-1,0
17,,346,10.130.234.185,63320,0.29812,74,0x40,66,1,52,5,TCP,eth:ethertype:ip:tcp,0.4,1,23.2.16.74,80,3.91918,0.14888,0,0,2,69.2,9284.85,16.7718,,16,2.79285,0,0.666667,3
