"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Answer RRs","Protocols in frame","IP_Flags","tcp_Flags","Next sequence number","Sequence number","TCP Segment Len","udp_Length"
"48","8.941483","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"49","9.352065","fe80::b504:f453:742b:7a21","ff02::1:ff00:cc7","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"50","9.601066","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"51","9.601195","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"52","10.530277","192.168.1.126","8.8.8.8","DNS","76","54442","53","0","eth:ethertype:ip:udp:dns","0x00","","","","","42"
"53","10.531467","8.8.8.8","192.168.1.126","DNS","92","53","54442","1","eth:ethertype:ip:udp:dns","0x00","","","","","58"
"54","10.531733","192.168.1.126","8.8.8.8","DNS","76","65534","53","0","eth:ethertype:ip:udp:dns","0x00","","","","","42"
"55","10.532809","8.8.8.8","192.168.1.126","DNS","104","53","65534","1","eth:ethertype:ip:udp:dns","0x00","","","","","70"
"56","10.600619","fe80::981:b1fd:8de1:811e","ff02::2","ICMPv6","70","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"57","10.602260","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","ICMPv6","198","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"58","10.941453","fe80::da58:d7ff:fe00:f72","ff02::1","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"59","10.964097","fe80::294d:3ea3:b53c:c77f","ff02::1:ff4b:1942","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"60","10.998657","fe80::4a8:b1f0:5819:1034","ff02::1:ff19:1034","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"61","11.101467","fe80::981:b1fd:8de1:811e","ff02::1:ffe1:811e","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"62","11.141994","fe80::5440:d617:fa87:1f07","ff02::1:ff98:fae8","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"63","11.161350","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff92:eff9","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"64","11.605259","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","ICMPv6","86","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"65","11.605407","fe80::981:b1fd:8de1:811e","fe80::da58:d7ff:fe00:f72","ICMPv6","86","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"66","11.701189","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff76:2c5a","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"67","12.000542","fe80::4a8:b1f0:5819:1034","ff02::1:ff00:fa9","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"68","12.065951","fe80::f802:c758:21ff:4cef","ff02::1:ffff:4cef","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"69","12.241508","fe80::695d:d39c:6fe8:612","ff02::1:ffaf:b9b4","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"70","12.295213","fe80::f106:5909:32ae:f4cb","ff02::1:ffcc:1f02","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"71","12.295332","fe80::f106:5909:32ae:f4cb","ff02::1:ff00:76e","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"72","12.782851","fe80::7479:68ba:3dc6:1d14","ff02::1:ff00:c04","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"73","12.857381","fe80::b504:f453:742b:7a21","ff02::1:ffba:1f64","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"74","13.243340","fe80::695d:d39c:6fe8:612","ff02::1:ff00:280","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"75","13.458355","fe80::294d:3ea3:b53c:c77f","ff02::1:ff3c:c77f","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"76","13.703960","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff00:2c6","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"77","14.028959","fe80::e8ff:97da:2f7f:abb3","ff02::1:ff62:aec8","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"78","14.195045","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff99:23c8","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"79","14.459422","fe80::294d:3ea3:b53c:c77f","ff02::1:ff00:994","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"80","14.530165","fe80::e8ff:97da:2f7f:abb3","ff02::1:ff00:f69","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"81","14.596238","fe80::981:b1fd:8de1:811e","ff02::2","ICMPv6","70","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"82","14.596356","fe80::981:b1fd:8de1:811e","ff02::1:ff68:ef0a","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"83","14.598257","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","ICMPv6","198","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"84","14.860312","fe80::b504:f453:742b:7a21","ff02::1:ff00:cc7","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"85","14.914493","fe80::3d1a:8135:9ed5:db1c","ff02::1:ffd5:db1c","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"86","15.285997","fe80::7479:68ba:3dc6:1d14","ff02::1:ffb1:5cc9","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"87","15.531417","fe80::e8ff:97da:2f7f:abb3","ff02::1:ff7f:abb3","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"88","15.541202","CZNICzsp_00:0f:72","PcsCompu_9d:05:4d","ARP","60","","","","eth:ethertype:arp","","","","","",""
"89","15.541348","PcsCompu_9d:05:4d","CZNICzsp_00:0f:72","ARP","42","","","","eth:ethertype:arp","","","","","",""
"90","16.138875","fe80::5440:d617:fa87:1f07","ff02::1:ff00:99e","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"91","16.352935","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ffb4:4877","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"92","16.599297","fe80::981:b1fd:8de1:811e","fe80::da58:d7ff:fe00:f72","ICMPv6","86","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"93","16.599547","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","ICMPv6","78","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"94","16.801918","fe80::f106:5909:32ae:f4cb","ff02::1:ffae:f4cb","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"95","16.917131","fe80::3d1a:8135:9ed5:db1c","ff02::1:ffb4:1ef9","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"96","17.139816","fe80::5440:d617:fa87:1f07","ff02::1:ff87:1f07","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"97","18.074252","fe80::f802:c758:21ff:4cef","ff02::1:ff6c:3a78","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"98","18.161658","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff3e:dd3c","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"99","18.290720","fe80::7479:68ba:3dc6:1d14","ff02::1:ffc6:1d14","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"100","18.549331","0.0.0.0","224.0.0.1","IGMPv2","60","","","","eth:ethertype:ip:igmp:igmp","0x40","","","","",""
"101","18.856310","fe80::b504:f453:742b:7a21","ff02::1:ff2b:7a21","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"102","18.944871","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","146","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","92"
"103","18.945818","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","183","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","129"
"104","19.000446","fe80::4a8:b1f0:5819:1034","ff02::1:ff0b:2224","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"105","19.065588","fe80::f802:c758:21ff:4cef","ff02::1:ff00:d25","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"106","19.163018","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff00:3a7","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"107","19.241691","fe80::695d:d39c:6fe8:612","ff02::1:ffe8:612","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"108","19.357126","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ffbd:f5d0","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"109","19.410915","fe80::3d1a:8135:9ed5:db1c","ff02::1:ff00:b30","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"110","19.944422","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","188","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","134"
"111","19.946662","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","215","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","161"
"112","19.948452","fe80::981:b1fd:8de1:811e","ff02::1:ff00:2c6","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"113","19.950615","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"114","19.950689","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"115","20.094509","::","ff02::1:ff00:2c6","ICMPv6","78","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"116","20.094647","fe80::981:b1fd:8de1:811e","ff02::1:ff00:2c6","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"117","20.094822","fd2d:ab8c:225::2c6","ff02::1","ICMPv6","86","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"118","20.096551","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"119","20.096623","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"120","20.445339","fe80::981:b1fd:8de1:811e","ff02::2","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"121","20.445513","fe80::da58:d7ff:fe00:f72","ff02::1","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"122","20.446638","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"123","20.446715","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"124","20.455241","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","148","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","94"
"125","20.456372","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","141","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","87"
"126","20.704498","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff00:2c6","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"127","22.449367","fe80::da58:d7ff:fe00:f72","ff02::1","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"128","22.505080","fe80::4a8:b1f0:5819:1034","ff02::1:ff19:1034","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"129","22.531202","fe80::e8ff:97da:2f7f:abb3","ff02::1:ff00:f69","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"130","22.598147","fe80::981:b1fd:8de1:811e","ff02::1:ff68:ef0a","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"131","22.736541","fe80::695d:d39c:6fe8:612","ff02::1:ffaf:b9b4","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"132","22.787247","fe80::7479:68ba:3dc6:1d14","ff02::1:ffc6:1d14","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"133","23.301671","fe80::f106:5909:32ae:f4cb","ff02::1:ff00:76e","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"134","23.352898","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ffb4:4877","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"135","23.572159","fe80::f802:c758:21ff:4cef","ff02::1:ffff:4cef","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"136","23.572262","fe80::f802:c758:21ff:4cef","ff02::1:ff00:d25","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"137","23.669488","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff3e:dd3c","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"138","23.698687","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff99:23c8","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"139","24.354308","fe80::b504:f453:742b:7a21","ff02::1:ff2b:7a21","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"140","24.508405","fe80::4a8:b1f0:5819:1034","ff02::1:ff0b:2224","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"141","24.789483","fe80::7479:68ba:3dc6:1d14","ff02::1:ffb1:5cc9","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"142","25.200206","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff76:2c5a","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"143","25.409170","fe80::3d1a:8135:9ed5:db1c","ff02::1:ffd5:db1c","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"144","25.642305","fe80::5440:d617:fa87:1f07","ff02::1:ff87:1f07","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"145","26.102977","fe80::981:b1fd:8de1:811e","ff02::1:ffe1:811e","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"146","26.241845","fe80::695d:d39c:6fe8:612","ff02::1:ffe8:612","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"147","26.291799","fe80::7479:68ba:3dc6:1d14","ff02::1:ff00:c04","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"148","27.001590","fe80::4a8:b1f0:5819:1034","ff02::1:ff00:fa9","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"149","27.067202","192.168.1.125","239.255.255.250","IGMPv2","46","","","","eth:ethertype:ip:igmp:igmp","0x00","","","","",""
"150","27.358592","fe80::e1ff:dec7:bebd:f5d0","ff02::1:ffbd:f5d0","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"151","27.568142","fe80::f802:c758:21ff:4cef","ff02::1:ff6c:3a78","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"152","28.194662","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff00:2c6","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"153","28.914189","fe80::3d1a:8135:9ed5:db1c","ff02::1:ffb4:1ef9","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"154","29.030624","fe80::e8ff:97da:2f7f:abb3","ff02::1:ff62:aec8","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"155","29.236506","fe80::695d:d39c:6fe8:612","ff02::1:ff00:280","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"156","29.460730","fe80::294d:3ea3:b53c:c77f","ff02::1:ff4b:1942","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"157","29.801178","fe80::f106:5909:32ae:f4cb","ff02::1:ffae:f4cb","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"158","29.962110","fe80::294d:3ea3:b53c:c77f","ff02::1:ff00:994","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"159","30.352369","fe80::b504:f453:742b:7a21","ff02::1:ff00:cc7","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"160","30.416827","fe80::3d1a:8135:9ed5:db1c","ff02::1:ff00:b30","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"161","30.461552","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","146","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","92"
"162","30.462095","fe80::294d:3ea3:b53c:c77f","ff02::1:ff3c:c77f","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"163","30.462529","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","183","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","129"
"164","30.639792","fe80::5440:d617:fa87:1f07","ff02::1:ff98:fae8","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"165","30.670090","fe80::4c7b:f8cd:4e3e:dd3c","ff02::1:ff92:eff9","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"166","31.033435","fe80::e8ff:97da:2f7f:abb3","ff02::1:ff7f:abb3","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"167","31.292772","fe80::f106:5909:32ae:f4cb","ff02::1:ffcc:1f02","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"168","31.353881","fe80::b504:f453:742b:7a21","ff02::1:ffba:1f64","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"169","31.460601","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","188","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","134"
"170","31.461737","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","215","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","161"
