FlowNo.,Answer RRs,BytesEx,Destination,Destination Port,Duration,FPL,IP_Flags,Length,Next sequence number,No.,NumPackets,Protocol,Protocols in frame,SameLenPktRatio,Sequence number,Source,Source Port,StdDevLen,IAT,isNull,NPEx,reconnects,APL,BitsPerSec,AvgPktPerSec,udp_Length,tcp_Flags,Time,TCP Segment Len,IOPR,NumForward,label
806,,340,91.220.62.30,443,20.0,58.0,0x40,62,1.0,12703,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49497,3.77124,0.0,0,0,3,56.6667,136.0,0.3,,2,10534.7,0.0,1.0,3,1
1232,0.0,196,fd2d:ab8c:225::1,53,0.04,90.0,,90,,7514,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,53548,8.0,0.0,0,0,1,98.0,39200.0,50.0,36.0,0,6127.99,,1.0,1,1
1158,,226,192.168.1.116,49624,0.0,113.0,0x40,172,119.0,30606,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,91.220.62.30,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,27568.1,118.0,1.0,1,1
1000,,60,91.220.62.30,443,0.0,60.0,0x40,60,7.0,22490,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49562,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,18798.0,6.0,-1.0,0,1
1084,,60,91.220.62.30,443,0.0,60.0,0x40,60,7.0,25747,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49590,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,22394.4,6.0,-1.0,0,1
444,,190,204.95.99.221,443,0.0,95.0,0x40,60,7.0,10831,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49471,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,8955.01,6.0,-1.0,0,1
354,,190,204.95.99.221,443,0.0,95.0,0x40,130,83.0,8716,2,SSL,eth:ethertype:ip:tcp:tls,1.0,7.0,192.168.1.116,49404,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,7100.75,76.0,-1.0,0,1
857,,403,192.168.1.116,49514,20.1,58.3333,0x40,54,1.0,16301,7,TCP,eth:ethertype:ip:tcp,0.428571,1.0,91.220.62.30,443,5.34141,0.0,0,0,3,57.5714,160.398,0.348259,,16,12774.8,0.0,1.33333,3,1
135,,226,192.168.1.116,49244,0.0,113.0,0x40,172,119.0,3200,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,2650.42,118.0,1.0,1,1
983,,395,192.168.1.116,49556,20.0,57.0,0x40,54,1.0,21866,7,TCP,eth:ethertype:ip:tcp,0.428571,1.0,91.220.62.30,443,3.53986,0.0,0,0,3,56.4286,158.0,0.35,,16,18045.8,0.0,1.33333,3,1
919,,190,91.220.62.30,443,0.0,95.0,0x40,60,7.0,19324,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49535,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,15306.0,6.0,-1.0,0,1
282,,340,204.95.99.221,443,20.01,58.0,0x40,62,1.0,6938,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49351,3.77124,0.0,0,0,3,56.6667,135.932,0.29985,,2,5617.4,0.0,1.0,3,1
79,,60,204.95.99.221,443,0.0,60.0,0x40,60,7.0,1992,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49204,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,1518.49,6.0,-1.0,0,1
416,,226,192.168.1.116,49447,0.01,172.0,0x40,172,119.0,10100,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,180800.0,200.0,,24,8283.65,118.0,1.0,1,1
1441,0.0,332,fd2d:ab8c:225::1,53,0.0,166.0,,99,,6987,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,65451,67.0,0.0,0,0,1,166.0,0.0,0.0,45.0,0,5667.44,,1.0,1,1
379,,340,192.168.1.116,49420,20.01,58.0,0x40,54,1.0,9225,6,TCP,eth:ethertype:ip:tcp,0.333333,1.0,204.95.99.221,443,3.77124,0.0,0,0,3,56.6667,135.932,0.29985,,16,7521.85,0.0,1.0,3,1
521,,186,192.168.1.116,49288,0.0,60.0,0x40,66,1.0,4499,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,216.58.201.78,80,5.65685,0.0,0,0,1,62.0,0.0,0.0,,18,3813.92,0.0,2.0,1,1
703,,190,91.220.62.30,443,0.01,60.0,0x40,60,7.0,4721,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49293,35.0,0.0,0,0,0,95.0,152000.0,200.0,,24,4034.06,6.0,-1.0,0,1
1049,,403,91.220.62.30,443,20.2,58.3333,0x40,66,1.0,24154,7,TCP,eth:ethertype:ip:tcp,0.428571,0.0,192.168.1.116,49578,5.34141,0.0,0,0,3,57.5714,159.604,0.346535,,2,20810.1,0.0,1.33333,3,1
196,,226,204.95.99.221,443,0.0,113.0,0x40,54,9.0,4486,2,TCP,eth:ethertype:ip:tcp,1.0,9.0,192.168.1.116,49286,59.0,0.0,0,0,0,113.0,0.0,0.0,,20,3813.77,0.0,1.0,1,1
1054,,60,91.220.62.30,443,0.0,60.0,0x40,60,7.0,24456,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49580,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,21063.4,6.0,-1.0,0,1
398,,226,192.168.1.116,49434,0.0,113.0,0x40,172,119.0,9672,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,7912.44,118.0,1.0,1,1
445,,340,204.95.99.221,443,20.0,58.0,0x40,62,1.0,10828,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49471,3.77124,0.0,0,0,3,56.6667,136.0,0.3,,2,8955.01,0.0,1.0,3,1
982,,60,91.220.62.30,443,0.0,60.0,0x40,60,7.0,21863,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49556,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,18045.8,6.0,-1.0,0,1
1473,0.0,168,ff02::1:3,5355,0.1,84.0,,84,,16456,2,LLMNR,eth:ethertype:ipv6:udp:llmnr,0.5,,fe80::3415:2c17:d667:c2c1,57529,0.0,0.0,0,0,1,84.0,13440.0,20.0,30.0,0,12913.0,,-1.0,0,1
529,,186,216.58.201.78,80,0.0,60.0,0x40,66,1.0,5209,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,192.168.1.116,49304,5.65685,0.0,0,0,1,62.0,0.0,0.0,,2,4374.9,0.0,2.0,1,1
111,,226,192.168.1.116,49228,0.0,113.0,0x40,172,119.0,2728,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,2229.35,118.0,1.0,1,1
376,,403,204.95.99.221,443,20.01,58.3333,0x40,66,1.0,9166,7,TCP,eth:ethertype:ip:tcp,0.428571,0.0,192.168.1.116,49419,5.34141,0.0,0,0,3,57.5714,161.119,0.349825,,2,7501.84,0.0,1.33333,3,1
193,,226,192.168.1.116,49285,0.0,113.0,0x40,172,119.0,4458,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,3783.62,118.0,1.0,1,1
1128,,226,192.168.1.116,49604,0.0,113.0,0x40,172,119.0,27887,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,91.220.62.30,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,24414.6,118.0,1.0,1,1
588,,186,216.58.201.78,80,0.0,60.0,0x40,66,1.0,10648,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,192.168.1.116,49463,5.65685,0.0,0,0,1,62.0,0.0,0.0,,2,8794.43,0.0,2.0,1,1
810,,226,192.168.1.116,49498,0.0,113.0,0x40,172,119.0,12915,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,91.220.62.30,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,10785.9,118.0,1.0,1,1
267,,403,192.168.1.116,49339,20.0,58.3333,0x40,54,1.0,6446,7,TCP,eth:ethertype:ip:tcp,0.428571,1.0,204.95.99.221,443,5.34141,0.0,0,0,3,57.5714,161.2,0.35,,16,5276.91,0.0,1.33333,3,1
979,,190,91.220.62.30,443,0.0,95.0,0x40,60,7.0,21448,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49555,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,17814.9,6.0,-1.0,0,1
138,,226,192.168.1.116,49245,0.0,113.0,0x40,172,119.0,3226,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,2670.42,118.0,1.0,1,1
837,,226,91.220.62.30,443,0.0,113.0,0x40,54,84.0,14672,2,TCP,eth:ethertype:ip:tcp,1.0,84.0,192.168.1.116,49507,59.0,0.0,0,0,0,113.0,0.0,0.0,,20,11809.2,0.0,1.0,1,1
754,,60,91.220.62.30,443,0.0,60.0,0x40,60,7.0,8974,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49411,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,7351.19,6.0,-1.0,0,1
803,,395,91.220.62.30,443,20.0,57.0,0x40,62,1.0,12680,7,TCP,eth:ethertype:ip:tcp,0.428571,0.0,192.168.1.116,49496,3.53986,0.0,0,0,3,56.4286,158.0,0.35,,2,10514.7,0.0,1.33333,3,1
937,,190,91.220.62.30,443,0.0,95.0,0x40,60,7.0,19988,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49541,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,16059.5,6.0,-1.0,0,1
1349,0.0,336,fd2d:ab8c:225::1,53,0.08,101.0,,101,,8709,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,60141,67.0,0.0,0,0,1,168.0,33600.0,25.0,47.0,0,7100.67,,1.0,1,1
1452,,1486,ff02::1:2,547,25.1,188.0,,188,,28938,9,DHCPv6,eth:ethertype:ipv6:udp:dhcpv6,0.333333,,fe80::5dd3:6bb3:7720:1e83,546,20.4855,0.0,0,0,8,165.111,473.625,0.358566,134.0,0,25846.9,,-1.0,0,1
1421,0.0,332,fd2d:ab8c:225::1,53,0.0,166.0,,99,,10856,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,64382,67.0,0.0,0,0,1,166.0,0.0,0.0,45.0,0,8985.16,,1.0,1,1
1354,0.0,336,fd2d:ab8c:225::1,53,0.15,101.0,,101,,4010,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,60430,67.0,0.0,0,0,1,168.0,17920.0,13.3333,47.0,0,3372.37,,1.0,1,1
35,,340,204.95.99.221,443,20.006,62.0,0x40,62,1.0,774,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49168,3.77124,0.0,0,0,3,56.6667,135.959,0.29991,,2,476.442,0.0,1.0,3,1
772,,60,91.220.62.30,443,0.0,60.0,0x40,60,7.0,10248,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49451,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,8463.92,6.0,-1.0,0,1
739,,190,91.220.62.30,443,0.0,95.0,0x40,60,7.0,7645,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49372,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,6258.61,6.0,-1.0,0,1
1033,,190,91.220.62.30,443,0.0,95.0,0x40,60,7.0,23554,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49573,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,20074.3,6.0,-1.0,0,1
881,,403,91.220.62.30,443,20.0,58.3333,0x40,66,1.0,17798,7,TCP,eth:ethertype:ip:tcp,0.428571,0.0,192.168.1.116,49522,5.34141,0.0,0,0,3,57.5714,161.2,0.35,,2,13778.5,0.0,1.33333,3,1
531,,186,216.58.201.78,80,0.0,60.0,0x40,66,1.0,5439,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,192.168.1.116,49312,5.65685,0.0,0,0,1,62.0,0.0,0.0,,2,4515.11,0.0,2.0,1,1
1355,0.0,336,fd2d:ab8c:225::1,53,0.08,101.0,,101,,7774,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,60463,67.0,0.0,0,0,1,168.0,33600.0,25.0,47.0,0,6338.82,,1.0,1,1
1339,0.0,196,fd2d:ab8c:225::1,53,0.03,90.0,,90,,3778,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,59567,8.0,0.0,0,0,1,98.0,52266.7,66.6667,36.0,0,3182.39,,1.0,1,1
1130,,348,91.220.62.30,443,20.1,60.0,0x40,66,1.0,27889,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49605,5.65685,0.0,0,0,3,58.0,138.507,0.298507,,2,24415.8,0.0,1.0,3,1
583,,186,216.58.201.78,80,0.0,60.0,0x40,66,1.0,10230,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,192.168.1.116,49450,5.65685,0.0,0,0,1,62.0,0.0,0.0,,2,8443.82,0.0,2.0,1,1
93,,226,204.95.99.221,443,0.0,113.0,0x40,54,9.0,2357,2,TCP,eth:ethertype:ip:tcp,1.0,9.0,192.168.1.116,49214,59.0,0.0,0,0,0,113.0,0.0,0.0,,20,1858.84,0.0,1.0,1,1
222,,340,192.168.1.116,49309,20.01,58.0,0x40,54,1.0,5340,6,TCP,eth:ethertype:ip:tcp,0.333333,1.0,204.95.99.221,443,3.77124,0.0,0,0,3,56.6667,135.932,0.29985,,16,4455.13,0.0,1.0,3,1
407,,226,192.168.1.116,49443,0.0,113.0,0x40,172,119.0,9984,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,8213.38,118.0,1.0,1,1
836,,348,91.220.62.30,443,20.0,60.0,0x40,66,1.0,14649,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49507,5.65685,0.0,0,0,3,58.0,139.2,0.3,,2,11789.2,0.0,1.0,3,1
596,,186,216.58.201.78,80,0.0,60.0,0x40,66,1.0,11359,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,192.168.1.116,49485,5.65685,0.0,0,0,1,62.0,0.0,0.0,,2,9367.83,0.0,2.0,1,1
1423,0.0,342,fd2d:ab8c:225::1,53,0.0,171.0,,104,,5334,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,64460,67.0,0.0,0,0,1,171.0,0.0,0.0,50.0,0,4455.13,,1.0,1,1
1083,,226,192.168.1.116,49589,0.0,113.0,0x40,172,119.0,25571,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,91.220.62.30,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,22169.2,118.0,1.0,1,1
790,,60,91.220.62.30,443,0.0,60.0,0x40,60,7.0,12267,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49492,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,10012.9,6.0,-1.0,0,1
828,,226,192.168.1.116,49504,0.0,113.0,0x40,172,119.0,14307,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,91.220.62.30,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,11538.1,118.0,1.0,1,1
758,,340,91.220.62.30,443,20.01,58.0,0x40,62,1.0,8981,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49412,3.77124,0.0,0,0,3,56.6667,135.932,0.29985,,2,7371.2,0.0,1.0,3,1
97,,60,204.95.99.221,443,0.0,60.0,0x40,60,7.0,2386,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49217,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,1888.86,6.0,-1.0,0,1
1325,0.0,196,fd2d:ab8c:225::1,53,0.0,98.0,,90,,10404,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,58735,8.0,0.0,0,0,1,98.0,0.0,0.0,36.0,0,8584.02,,1.0,1,1
158,,60,204.95.99.221,443,0.0,60.0,0x40,60,7.0,3665,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49260,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,3051.82,6.0,-1.0,0,1
660,,226,192.168.1.116,49198,0.0,113.0,0x40,172,119.0,1879,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,91.220.62.30,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,1438.27,118.0,1.0,1,1
1236,0.0,196,fd2d:ab8c:225::1,53,0.16,90.0,,90,,9249,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,53692,8.0,0.0,0,0,1,98.0,9800.0,12.5,36.0,0,7531.35,,1.0,1,1
840,,226,192.168.1.116,49508,0.0,113.0,0x40,172,119.0,14950,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,91.220.62.30,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,12039.7,118.0,1.0,1,1
1222,0.0,342,fd2d:ab8c:225::1,53,0.0,171.0,,104,,9085,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,53093,67.0,0.0,0,0,1,171.0,0.0,0.0,50.0,0,7421.41,,1.0,1,1
509,,186,216.58.201.78,80,0.0,60.0,0x40,66,1.0,3533,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,192.168.1.116,49256,5.65685,0.0,0,0,1,62.0,0.0,0.0,,2,2971.91,0.0,2.0,1,1
362,,226,192.168.1.116,49407,0.0,113.0,0x40,172,119.0,8821,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,7170.88,118.0,1.0,1,1
307,,226,192.168.1.116,49367,0.0,113.0,0x40,172,119.0,7483,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,6058.34,118.0,1.0,1,1
605,0.0,128,224.0.0.252,5355,0.1,64.0,0x00,64,,24477,2,LLMNR,eth:ethertype:ip:udp:llmnr,0.5,,192.168.1.127,51644,0.0,0.0,0,0,1,64.0,10240.0,20.0,30.0,0,21094.5,,-1.0,0,1
263,,190,204.95.99.221,443,0.0,95.0,0x40,60,7.0,6270,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49338,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,5246.88,6.0,-1.0,0,1
742,,60,91.220.62.30,443,0.0,60.0,0x40,60,7.0,8056,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49384,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,6609.38,6.0,-1.0,0,1
1092,,226,91.220.62.30,443,0.0,113.0,0x40,54,9.0,25967,2,TCP,eth:ethertype:ip:tcp,1.0,9.0,192.168.1.116,49592,59.0,0.0,0,0,0,113.0,0.0,0.0,,20,22679.8,0.0,1.0,1,1
1469,0.0,172,ff02::1:3,5355,0.1,86.0,,86,,13028,2,LLMNR,eth:ethertype:ipv6:udp:llmnr,0.5,,fe80::3415:2c17:d667:c2c1,53098,0.0,0.0,0,0,1,86.0,13760.0,20.0,32.0,0,10862.3,,-1.0,0,1
888,,226,192.168.1.116,49524,0.0,113.0,0x40,172,119.0,18157,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,91.220.62.30,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,14050.7,118.0,1.0,1,1
1462,,2920,ff02::1:2,547,167.2,162.0,,162,,15632,18,DHCPv6,eth:ethertype:ipv6:udp:dhcpv6,0.222222,,fe80::dcd7:c07a:b437:d5ae,546,18.8195,0.0,0,0,17,162.222,139.713,0.107656,108.0,0,12549.6,,-1.0,0,1
244,,226,192.168.1.116,49323,0.0,113.0,0x40,172,119.0,5815,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,4876.38,118.0,1.0,1,1
1357,0.0,332,fd2d:ab8c:225::1,53,0.14,99.0,,99,,4876,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,60478,67.0,0.0,0,0,1,166.0,18971.4,14.2857,45.0,0,4164.53,,1.0,1,1
177,,403,204.95.99.221,443,20.0,58.3333,0x40,55,8.0,4066,7,TCP,eth:ethertype:ip:tcp,0.428571,7.0,192.168.1.116,49273,5.34141,0.0,0,0,3,57.5714,161.2,0.35,,24,3422.7,1.0,1.33333,3,1
299,,190,204.95.99.221,443,0.0,95.0,0x40,60,7.0,7378,2,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49365,35.0,0.0,0,0,0,95.0,0.0,0.0,,24,5988.09,6.0,-1.0,0,1
1346,0.0,196,fd2d:ab8c:225::1,53,0.02,90.0,,90,,9821,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,59947,8.0,0.0,0,0,1,98.0,78400.0,100.0,36.0,0,8092.77,,1.0,1,1
1271,0.0,336,fd2d:ab8c:225::1,53,0.0,168.0,,101,,6911,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,55486,67.0,0.0,0,0,1,168.0,0.0,0.0,47.0,0,5597.4,,1.0,1,1
1350,0.0,336,fd2d:ab8c:225::1,53,0.0,168.0,,101,,1531,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,60208,67.0,0.0,0,0,1,168.0,0.0,0.0,47.0,0,1167.7,,1.0,1,1
1148,,348,91.220.62.30,443,20.1,60.0,0x40,66,1.0,28566,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49611,5.65685,0.0,0,0,3,58.0,138.507,0.298507,,2,25349.4,0.0,1.0,3,1
609,0.0,128,224.0.0.252,5355,0.1,64.0,0x00,64,,16020,2,LLMNR,eth:ethertype:ip:udp:llmnr,0.5,,192.168.1.134,55811,0.0,0.0,0,0,1,64.0,10240.0,20.0,30.0,0,12629.6,,-1.0,0,1
491,,186,216.58.201.78,80,0.0,60.0,0x40,66,1.0,2162,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,192.168.1.116,49210,5.65685,0.0,0,0,1,62.0,0.0,0.0,,2,1709.13,0.0,2.0,1,1
430,,403,204.95.99.221,443,20.01,58.3333,0x40,66,1.0,10441,7,TCP,eth:ethertype:ip:tcp,0.428571,0.0,192.168.1.116,49459,5.34141,0.0,0,0,3,57.5714,161.119,0.349825,,2,8614.36,0.0,1.33333,3,1
986,,340,91.220.62.30,443,20.0,58.0,0x40,54,1.0,21881,6,TCP,eth:ethertype:ip:tcp,0.333333,1.0,192.168.1.116,49557,3.77124,0.0,0,0,3,56.6667,136.0,0.3,,16,18065.8,0.0,1.0,3,1
1284,0.0,196,fd2d:ab8c:225::1,53,0.0,98.0,,90,,2158,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,55960,8.0,0.0,0,0,1,98.0,0.0,0.0,36.0,0,1709.13,,1.0,1,1
497,,186,216.58.201.78,80,0.0,60.0,0x40,66,1.0,2622,3,TCP,eth:ethertype:ip:tcp,0.666667,0.0,192.168.1.116,49224,5.65685,0.0,0,0,1,62.0,0.0,0.0,,2,2130.09,0.0,2.0,1,1
