FlowNo.,Answer RRs,BytesEx,Destination,Destination Port,Duration,FPL,IP_Flags,Length,Next sequence number,No.,NumPackets,Protocol,Protocols in frame,SameLenPktRatio,Sequence number,Source,Source Port,StdDevLen,IAT,isNull,NPEx,reconnects,APL,BitsPerSec,AvgPktPerSec,udp_Length,tcp_Flags,Time,TCP Segment Len,IOPR,NumForward
46,,32802,31.13.93.7,443,7.022,66,0x40,66,1,788,39,TCP,eth:ethertype:ip:tcp,0.0769231,0,192.168.1.126,49174,726.846,0,0,0,12,841.077,37370.5,5.55397,,2,117.853,0,0.625,24
16,,2647,31.13.93.7,443,0.278,210,0x40,210,157,765,3,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49159,533.132,0,0,0,1,882.333,76172.7,10.7914,,24,117.755,156,0.5,2
65,,5229,31.13.93.7,443,3.888,242,0x40,242,189,1196,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49183,439.363,0,0,0,1,653.625,10759.3,2.05761,,24,126.449,188,0.6,5
42,,18972,31.13.93.7,443,7.023,66,0x40,54,792,1035,26,TCP,eth:ethertype:ip:tcp,0.115385,792,192.168.1.126,49172,726.139,0.001,0,0,9,729.692,21611.3,3.70212,,16,123.432,0,0.733333,15
77,,456,31.13.93.7,443,67.265,66,0x40,66,1,1192,8,TCP,eth:ethertype:ip:tcp,0.25,0,192.168.1.126,49189,5.19615,0,0,0,3,57,54.2333,0.118933,,2,126.448,0,3,2
15,,108,31.13.93.7,443,0,54,0x40,54,158,799,2,TCP,eth:ethertype:ip:tcp,0.5,158,192.168.1.126,49159,0,0,0,0,1,54,0,0,,20,118.033,0,-1,0
56,,8404,31.13.93.7,443,68.738,66,0x40,66,1,1079,20,TCP,eth:ethertype:ip:tcp,0.15,0,192.168.1.126,49179,631.516,0,0,0,7,420.2,978.091,0.29096,,2,124.975,0,1,10
87,0,197,8.8.8.8,53,0.002,79,0x00,79,,745,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,54028,19.5,0,0,0,1,98.5,788000,1000,45,0,117.749,,1,1
10,,54,192.168.1.126,49193,0,54,0x40,54,2761,1489,1,TCP,eth:ethertype:ip:tcp,1,2761,31.13.93.36,443,0,0,0,0,0,54,0,0,,16,130.461,0,0,1
63,,7796,31.13.93.7,443,3.754,242,0x40,242,189,1119,9,TLSv1.2,eth:ethertype:ip:tcp:tls,0.777778,1,192.168.1.126,49182,564.191,0,0,0,1,866.222,16613.7,2.39744,,24,125.436,188,0.5,6
96,2,161,8.8.8.8,62819,0,161,"0x00,0x00",161,,709,1,ICMP,eth:ethertype:ip:icmp:ip:udp:dns,1,,192.168.1.126,53,0,0,0,0,0,161,0,0,99,0,116.363,,-1,0
81,,3984,31.13.93.7,443,1.879,242,0x40,242,189,1262,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49190,431.997,0,0,0,1,498,16962.2,4.25758,,24,127.446,188,0.6,5
45,,4997,31.13.93.7,443,0.519,242,0x40,242,189,934,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49173,427.372,0,0,0,1,624.625,77025,15.4143,,24,120.849,188,0.6,5
58,,8512,31.13.93.7,443,73.544,60,0x40,66,1,1106,22,TCP,eth:ethertype:ip:tcp,0.136364,0,192.168.1.126,49180,611.26,0,0,0,9,386.909,925.922,0.299141,,2,125.334,0,1.2,10
30,,3814,31.13.93.7,443,7.025,60,0x40,66,1,773,13,TCP,eth:ethertype:ip:tcp,0.307692,0,192.168.1.126,49167,522.052,0,0,0,5,293.385,4343.35,1.85053,,2,117.85,0,1.16667,6
39,,6602,31.13.93.7,443,1.795,210,0x40,210,157,792,10,TLSv1.2,eth:ethertype:ip:tcp:tls,0.8,1,192.168.1.126,49170,484.952,0,0,0,1,660.2,29424,5.57103,,24,117.854,156,0.666667,6
54,,2024,31.13.93.7,443,68.808,66,0x40,66,1,1076,10,TCP,eth:ethertype:ip:tcp,0.3,0,192.168.1.126,49178,437.226,0,0,0,4,202.4,235.321,0.145332,,2,124.904,0,1.5,4
26,,186,31.13.93.7,443,0.999,66,0x40,66,1,761,3,TCP,eth:ethertype:ip:tcp,0.666667,0,192.168.1.126,49163,5.65685,0,0,0,1,62,1489.49,3.003,,2,117.754,0,2,1
22,,2647,31.13.93.7,443,1.073,210,0x40,210,157,767,3,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49161,533.132,0,0,0,1,882.333,19735.3,2.7959,,24,117.755,156,0.5,2
52,,2078,31.13.93.7,443,68.808,66,0x40,54,778,1781,11,TCP,eth:ethertype:ip:tcp,0.272727,778,192.168.1.126,49177,419.056,63.601,0,0,4,188.909,241.6,0.159865,,20,193.712,0,1.2,5
84,,2024,31.13.93.7,443,67.265,66,0x40,66,1,1195,10,TCP,eth:ethertype:ip:tcp,0.3,0,192.168.1.126,49192,437.226,0,0,0,4,202.4,240.72,0.148666,,2,126.448,0,1.5,4
57,,8354,31.13.93.7,443,3.337,242,0x40,242,189,1082,11,TLSv1.2,eth:ethertype:ip:tcp:tls,0.818182,1,192.168.1.126,49179,539.146,0,0,0,1,759.455,20027.6,3.29637,,24,124.976,188,0.571429,7
76,,3930,192.168.1.126,49188,1.494,242,0x40,145,2224,1498,7,TLSv1.2,eth:ethertype:ip:tcp:tls,1,2133,31.13.93.7,443,436.282,0.203,0,0,1,561.429,21044.2,4.68541,,24,130.741,91,0.75,4
71,,4709,31.13.93.7,443,2.552,242,0x40,242,189,1405,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49186,431.922,0,0,0,1,588.625,14761.8,3.1348,,24,129.451,188,0.6,5
41,,5661,31.13.93.7,443,0.35,242,0x40,242,189,931,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49171,495.855,0,0,0,1,707.625,129394,22.8571,,24,120.848,188,0.6,5
3,0,128,224.0.0.252,5355,0.0976,64,0x00,64,,475,2,LLMNR,eth:ethertype:ip:udp:llmnr,0.5,,192.168.1.126,53174,0,0,0,0,1,64,10491.8,20.4918,30,0,87.2239,,-1,0
74,,468,31.13.93.7,443,4.498,66,0x40,66,1,1191,8,TCP,eth:ethertype:ip:tcp,0.25,0,192.168.1.126,49188,5.80948,0,0,0,3,58.5,832.37,1.77857,,2,126.447,0,3,2
47,,9559,31.13.93.7,443,3.834,242,0x40,242,189,935,10,TLSv1.2,eth:ethertype:ip:tcp:tls,0.7,1,192.168.1.126,49174,587.253,0,0,0,1,955.9,19945.7,2.60824,,24,120.849,188,0.428571,7
90,0,197,8.8.8.8,53,0.001,76,0x00,76,,1462,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,55985,22.5,0,0,0,1,98.5,1.576e+06,2000,42,0,130.153,,1,1
80,,54,31.13.93.7,443,0,54,0x40,54,793,1388,1,TCP,eth:ethertype:ip:tcp,1,793,192.168.1.126,49190,0,0,0,0,0,54,0,0,,20,129.325,0,-1,0
66,,30124,31.13.93.7,443,67.267,60,0x40,66,1,1185,40,TCP,eth:ethertype:ip:tcp,0.1,0,192.168.1.126,49184,724.337,0,0,0,15,753.1,3582.62,0.594645,,2,126.446,0,0.73913,23
0,,2425,192.168.1.126,49195,85.604,60,0x40,66,1,1669,32,TCP,eth:ethertype:ip:tcp,0.09375,0,173.252.90.36,443,114.86,0,0,0,9,75.7812,226.625,0.373814,,18,173.562,0,0.882353,17
6,,856,239.255.255.250,1900,3.003,214,0x40,214,,1689,4,SSDP,eth:ethertype:ip:udp:ssdp,0.25,,192.168.1.2,58620,0,0,0,0,3,214,2280.39,1.332,180,0,174.604,,-1,0
40,,3604,31.13.93.7,443,7.023,66,0x40,66,1,785,12,TCP,eth:ethertype:ip:tcp,0.25,0,192.168.1.126,49171,542.791,0,0,0,5,300.333,4105.37,1.70867,,2,117.852,0,1.4,5
11,,3797,31.13.93.36,443,0.303,207,0x40,207,154,1469,7,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49193,443.289,0,0,0,1,542.429,100251,23.1023,,24,130.158,153,0.75,4
53,,4101,31.13.93.7,443,4.209,212,0x40,212,159,1151,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49177,450.291,0,0,0,1,512.625,7794.73,1.90069,,24,125.902,158,0.6,5
68,,3724,31.13.93.7,443,67.267,66,0x40,66,1,1188,14,TCP,eth:ethertype:ip:tcp,0.214286,0,192.168.1.126,49185,509.521,0,0,0,8,266,442.892,0.208126,,2,126.447,0,1.33333,6
67,,6612,31.13.93.7,443,3.461,242,0x40,242,189,1197,9,TLSv1.2,eth:ethertype:ip:tcp:tls,0.888889,1,192.168.1.126,49184,553.344,0,0,0,1,734.667,15283.4,2.6004,,24,126.449,188,0.5,6
8,,6911,31.13.93.36,443,1.911,207,0x40,207,154,710,9,TLSv1.2,eth:ethertype:ip:tcp:tls,0.888889,1,192.168.1.126,49158,497.833,0,0,0,1,767.889,28931.4,4.70958,,24,116.373,153,0.5,6
88,0,168,8.8.8.8,53,0.0012,76,0x00,76,,52,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,54442,8,0,0,0,1,84,1.12e+06,1666.67,42,0,10.5303,,1,1
82,,3646,31.13.93.7,443,67.265,66,0x40,66,1,1194,13,TCP,eth:ethertype:ip:tcp,0.230769,0,192.168.1.126,49191,526,0,0,0,5,280.462,433.628,0.193265,,2,126.448,0,1.6,5
48,,50092,31.13.93.7,443,68.815,66,0x40,54,1229,1224,62,TCP,eth:ethertype:ip:tcp,0.0483871,1229,192.168.1.126,49175,729.223,0,0,0,23,807.935,5823.38,0.900966,,16,126.994,0,0.722222,36
20,,240,31.13.93.7,443,0.004,60,0x40,66,1,755,4,TCP,eth:ethertype:ip:tcp,0.5,0,192.168.1.126,49161,6,0,0,0,1,60,480000,1000,,2,117.753,0,3,1
98,0,364,fd2d:ab8c:225::1,53,0.055,98,,98,,1664,2,DNS,eth:ethertype:ipv6:udp:dns,1,,fd2d:ab8c:225:0:65fd:f7c4:fa68:ef0a,61868,84,0,0,0,1,182,52945.5,36.3636,44,0,173.486,,1,1
38,,4704,192.168.1.126,49170,0,784,0x40,1514,6327,909,6,TCP,eth:ethertype:ip:tcp,0.333333,4867,31.13.93.7,443,730,0,0,0,2,784,0,0,,16,119.649,1460,1,3
18,,108,31.13.93.7,443,0,54,0x40,54,158,795,2,TCP,eth:ethertype:ip:tcp,0.5,158,192.168.1.126,49160,0,0,0,0,1,54,0,0,,20,117.873,0,-1,0
32,,2300,31.13.93.7,443,1.694,60,0x40,66,1,776,12,TCP,eth:ethertype:ip:tcp,0.333333,0,192.168.1.126,49168,400.93,0,0,0,4,191.667,10861.9,7.08383,,2,117.851,0,1,6
75,,54,192.168.1.126,49188,0,54,0x40,54,2763,1505,1,TCP,eth:ethertype:ip:tcp,1,2763,31.13.93.7,443,0,0,0,0,0,54,0,0,,16,130.945,0,0,1
21,,384,31.13.93.7,443,0.776,138,0x40,210,158,802,4,TCP,eth:ethertype:ip:tcp,0.75,1,192.168.1.126,49161,66,0,0,0,2,96,3958.76,5.15464,,25,118.053,156,3,1
99,,5951,fe80::981:b1fd:8de1:811e,546,116.193,163,,163,,21,33,DHCPv6,eth:ethertype:ipv6:udp:dhcpv6,0.121212,,fe80::da58:d7ff:fe00:f72,547,29.6798,0,0,0,32,180.333,409.733,0.284011,109,0,7.34019,,0,33
51,,4809,31.13.93.7,443,3.521,212,0x40,212,159,1077,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49176,439.977,0,0,0,1,601.125,10926.4,2.27208,,24,124.904,158,0.6,5
14,,240,31.13.93.7,443,0.005,60,0x40,66,1,749,4,TCP,eth:ethertype:ip:tcp,0.5,0,192.168.1.126,49159,6,0,0,0,1,60,384000,800,,2,117.752,0,3,1
78,,5173,31.13.93.7,443,2.687,242,0x40,242,189,1261,8,TLSv1.2,eth:ethertype:ip:tcp:tls,0.875,1,192.168.1.126,49189,556.302,0,0,0,1,646.625,15401.6,2.9773,,24,127.446,188,0.6,5
91,0,209,8.8.8.8,53,0.001,76,0x00,76,,1464,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,56954,28.5,0,0,0,1,104.5,1.672e+06,2000,42,0,130.155,,1,1
101,,1004,ff02::1:2,547,13.5079,188,,188,,519,6,DHCPv6,eth:ethertype:ipv6:udp:dhcpv6,0.5,,fe80::3d1a:8135:9ed5:db1c,546,20.6774,0,0,0,5,167.333,594.615,0.444185,134,0,94.0301,,-1,0
103,0,168,ff02::1:3,5355,0.0976,84,,84,,474,2,LLMNR,eth:ethertype:ipv6:udp:llmnr,0.5,,fe80::981:b1fd:8de1:811e,55464,0,0,0,0,1,84,13770.5,20.4918,30,0,87.2237,,-1,0
89,0,197,8.8.8.8,53,0.001,76,0x00,76,,699,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,55321,22.5,0,0,0,1,98.5,1.576e+06,2000,42,0,116.339,,1,1
86,0,178,8.8.8.8,53,0.001,81,0x00,81,,1068,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,52372,8,0,0,0,1,89,1.424e+06,2000,47,0,124.901,,1,1
100,,1004,ff02::1:2,547,13.507,188,,188,,1613,6,DHCPv6,eth:ethertype:ipv6:udp:dhcpv6,0.5,,fe80::294d:3ea3:b53c:c77f,546,20.6774,0,0,0,5,167.333,594.655,0.444214,134,0,166.661,,-1,0
37,,732,31.13.93.7,443,1.797,60,0x40,66,1,782,10,TCP,eth:ethertype:ip:tcp,0.3,0,192.168.1.126,49170,45.9147,0,0,0,3,73.2,3258.76,5.56483,,2,117.852,0,1.5,4
12,,564,31.13.93.36,443,60.647,60,0x40,66,1,1657,10,TCP,eth:ethertype:ip:tcp,0.2,0,192.168.1.126,49194,4.8,0,0,0,4,56.4,74.3977,0.164889,,2,173.483,0,1.5,4
70,,12904,31.13.93.7,443,67.267,66,0x40,66,1,1189,22,TCP,eth:ethertype:ip:tcp,0.136364,0,192.168.1.126,49186,701.101,0,0,0,8,586.545,1534.66,0.327055,,2,126.447,0,1,11
59,,7842,31.13.93.7,443,8.462,242,0x40,242,189,1109,11,TLSv1.2,eth:ethertype:ip:tcp:tls,0.818182,1,192.168.1.126,49180,515.721,0,0,0,1,712.909,7413.85,1.29993,,24,125.334,188,0.571429,7
102,,5316,ff02::1:2,547,116.192,162,,162,,20,33,DHCPv6,eth:ethertype:ipv6:udp:dhcpv6,0.121212,,fe80::981:b1fd:8de1:811e,546,19.2155,0,0,0,32,161.091,366.015,0.284013,108,0,7.33918,,-1,0
69,,6097,31.13.93.7,443,2.202,242,0x40,242,189,1403,8,TLSv1.2,eth:ethertype:ip:tcp:tls,0.875,1,192.168.1.126,49185,531.157,0,0,0,1,762.125,22150.8,3.63306,,24,129.451,188,0.6,5
1,,24874,173.252.90.36,443,25.517,209,0x40,209,156,1671,35,TLSv1.2,eth:ethertype:ip:tcp:tls,0.285714,1,192.168.1.126,49195,329.999,0,0,0,1,710.686,7798.41,1.37163,,24,173.563,155,1.5,14
64,,9956,192.168.1.126,49183,67.268,60,0x40,1514,4590,1426,18,TCP,eth:ethertype:ip:tcp,0.222222,3130,31.13.93.7,443,680.741,0.038,0,0,7,553.111,1184.04,0.267586,,16,129.809,1460,1,9
95,0,180,8.8.8.8,53,0.0011,76,0x00,76,,54,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,65534,14,0,0,0,1,90,1.30909e+06,1818.18,42,0,10.5317,,1,1
29,,186,31.13.93.7,443,0.999,66,0x40,66,1,764,3,TCP,eth:ethertype:ip:tcp,0.666667,0,192.168.1.126,49166,5.65685,0,0,0,1,62,1489.49,3.003,,2,117.754,0,2,1
33,,6272,192.168.1.126,49168,0.001,784,0x40,1514,8215,898,8,TCP,eth:ethertype:ip:tcp,0.25,6755,31.13.93.7,443,730,0,0,0,3,784,5.0176e+07,8000,,16,119.545,1460,1,4
85,,4593,31.13.93.7,443,1.415,242,0x40,242,189,1260,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49192,470.654,0,0,0,1,574.125,25967.5,5.65371,,24,127.446,188,0.6,5
23,,240,31.13.93.7,443,0.005,60,0x40,66,1,758,4,TCP,eth:ethertype:ip:tcp,0.5,0,192.168.1.126,49162,6,0,0,0,1,60,384000,800,,2,117.753,0,3,1
44,,522,31.13.93.7,443,7.023,66,0x40,66,1,787,9,TCP,eth:ethertype:ip:tcp,0.222222,0,192.168.1.126,49173,5.65685,0,0,0,4,58,594.618,1.2815,,2,117.852,0,3.5,2
31,,4781,31.13.93.7,443,1.347,210,0x40,210,157,789,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49167,430.328,0,0,0,1,597.625,28395,5.93912,,24,117.853,156,0.6,5
61,,9242,31.13.93.7,443,5.059,242,0x40,242,189,1114,11,TLSv1.2,eth:ethertype:ip:tcp:tls,0.909091,1,192.168.1.126,49181,519.176,0,0,0,1,840.182,14614.7,2.17434,,24,125.362,188,0.571429,7
43,,7556,31.13.93.7,443,2.582,242,0x40,242,189,933,9,TLSv1.2,eth:ethertype:ip:tcp:tls,0.777778,1,192.168.1.126,49172,551.76,0,0,0,1,839.556,23411.3,3.48567,,24,120.849,188,0.5,6
28,,186,31.13.93.7,443,0.999,66,0x40,66,1,763,3,TCP,eth:ethertype:ip:tcp,0.666667,0,192.168.1.126,49165,5.65685,0,0,0,1,62,1489.49,3.003,,2,117.754,0,2,1
94,0,209,8.8.8.8,53,0.001,79,0x00,79,,747,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,63866,25.5,0,0,0,1,104.5,1.672e+06,2000,45,0,117.751,,1,1
19,,2647,31.13.93.7,443,0.118,210,0x40,210,157,766,3,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49160,533.132,0,0,0,1,882.333,179458,25.4237,,24,117.755,156,0.5,2
73,,5764,31.13.93.7,443,3.564,242,0x40,242,189,1406,9,TLSv1.2,eth:ethertype:ip:tcp:tls,0.888889,1,192.168.1.126,49187,517.483,0,0,0,1,640.444,12938.3,2.52525,,24,129.451,188,0.5,6
5,,856,239.255.255.250,1900,3.0033,214,0x40,214,,295,4,SSDP,eth:ethertype:ip:udp:ssdp,0.25,,192.168.1.2,53890,0,0,0,0,3,214,2280.16,1.33187,180,0,54.5699,,-1,0
60,,11540,31.13.93.7,443,68.352,60,0x40,66,1,1111,24,TCP,eth:ethertype:ip:tcp,0.125,0,192.168.1.126,49181,662.98,0,0,0,10,480.833,1350.66,0.351124,,2,125.362,0,1.18182,11
36,,4913,31.13.93.7,443,1.292,210,0x40,210,157,791,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49169,429.987,0,0,0,1,614.125,30421.1,6.19195,,24,117.853,156,0.6,5
4,,1029,239.255.255.250,1900,108.005,329,0x00,329,,801,6,SSDP,eth:ethertype:ip:udp:ssdp,0.333333,,192.168.1.125,64489,70.4361,0,0,0,5,171.5,76.2187,0.055553,295,0,118.038,,-1,0
55,,6213,31.13.93.7,443,1.205,212,0x40,212,159,1153,8,TLSv1.2,eth:ethertype:ip:tcp:tls,0.875,1,192.168.1.126,49178,544.201,0,0,0,1,776.625,41248.1,6.639,,24,125.902,158,0.6,5
92,0,190,8.8.8.8,53,0.001,81,0x00,81,,1070,2,DNS,eth:ethertype:ip:udp:dns,1,,192.168.1.126,61426,14,0,0,0,1,95,1.52e+06,2000,47,0,124.902,,1,1
72,,29774,31.13.93.7,443,67.267,66,0x40,66,1,1190,37,TCP,eth:ethertype:ip:tcp,0.0810811,0,192.168.1.126,49187,728.74,0,0,0,13,804.703,3540.99,0.550047,,2,126.447,0,0.761905,21
9,,456,31.13.93.36,443,0.305,66,0x40,66,1,1466,8,TCP,eth:ethertype:ip:tcp,0.25,0,192.168.1.126,49193,5.19615,0,0,0,3,57,11960.7,26.2295,,2,130.156,0,1.66667,3
7,,25112,31.13.93.36,443,8.512,60,0x40,66,1,705,32,TCP,eth:ethertype:ip:tcp,0.09375,0,192.168.1.126,49158,729.255,0,0,0,10,784.75,23601.5,3.7594,,2,116.363,0,0.6,20
50,,680,31.13.93.7,443,68.808,60,0x40,66,1,1072,9,TCP,eth:ethertype:ip:tcp,0.333333,0,192.168.1.126,49176,48.5503,0,0,0,4,75.5556,79.0606,0.130799,,2,124.904,0,2,3
17,,240,31.13.93.7,443,0.004,60,0x40,54,1,754,4,TCP,eth:ethertype:ip:tcp,0.5,1,192.168.1.126,49160,6,0,0,0,1,60,480000,1000,,16,117.753,0,3,1
34,,7030,31.13.93.7,443,1.692,210,0x40,210,157,790,10,TLSv1.2,eth:ethertype:ip:tcp:tls,0.8,1,192.168.1.126,49168,558.04,0,0,0,1,703,33238.8,5.91017,,24,117.853,156,0.666667,6
